Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
SHTN1	57698	1	No	No	No	No	No	No	Yes
CCNB1IP1	57820	1	No	No	No	No	No	No	Yes
KMT2C	58508	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BACH2	60468	2	Yes	No	Yes	No	No	No	No
BCORL1	63035	5	Yes	No	Yes	Yes	Yes	No	Yes
PRDM16	63976	2	No	No	No	No	Yes	No	Yes
PRDM14	63978	2	Yes	Yes	No	No	No	No	No
CRLF2	64109	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
RRAGC	64121	3	Yes	Yes	Yes	No	No	No	No
ARHGEF28	64283	2	Yes	No	Yes	No	No	No	No
SOX17	64321	2	Yes	Yes	No	No	No	No	No
NSD1	64324	6	Yes	Yes	Yes	Yes	Yes	No	Yes
RFWD2	64326	2	Yes	Yes	No	No	No	No	No
SMYD3	64754	2	Yes	Yes	No	No	No	No	No
CREB3L2	64764	2	No	No	No	No	Yes	No	Yes
RBM15	64783	2	No	No	No	No	Yes	No	Yes
CRTC3	64784	1	No	No	No	No	No	No	Yes
RANBP17	64901	1	No	No	No	No	No	No	Yes
BCL11B	64919	4	Yes	No	Yes	No	Yes	No	Yes
GID4	79018	2	No	No	No	Yes	Yes	No	No
ASPSCR1	79058	1	No	No	No	No	No	No	Yes
MAPKAP1	79109	2	Yes	Yes	No	No	No	No	No
CHCHD7	79145	1	No	No	No	No	No	No	Yes
CDC73	79577	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FAT4	79633	1	No	No	No	No	No	No	Yes
VTCN1	79679	2	Yes	Yes	No	No	No	No	No
TBL1XR1	79718	4	Yes	No	Yes	No	Yes	No	Yes
PALB2	79728	6	Yes	Yes	Yes	Yes	Yes	No	Yes
FBXO31	79791	1	No	No	No	No	Yes	No	No
MOB3B	79817	2	Yes	No	Yes	No	No	No	No
SETD6	79918	2	Yes	No	Yes	No	No	No	No
ZNF703	80139	2	No	No	No	Yes	Yes	No	No
FBXO11	80204	4	Yes	No	Yes	No	Yes	No	Yes
PREX2	80243	4	Yes	Yes	No	Yes	No	No	Yes
C2ORF44	80304	1	No	No	No	No	No	No	Yes
TET1	80312	5	Yes	Yes	Yes	No	Yes	No	Yes
PDCD1LG2	80380	5	Yes	Yes	No	Yes	Yes	No	Yes
CD276	80381	2	Yes	Yes	No	No	No	No	No
SETD7	80854	2	Yes	No	Yes	No	No	No	No
FIP1L1	81608	1	No	No	No	No	No	No	Yes
FCRL4	83417	2	No	No	No	No	Yes	No	Yes
NUF2	83540	2	Yes	Yes	No	No	No	No	No
SESN2	83667	2	Yes	Yes	No	No	No	No	No
SETDB2	83852	2	Yes	No	Yes	No	No	No	No
STK40	83931	2	Yes	Yes	No	No	No	No	No
BRIP1	83990	6	Yes	Yes	Yes	Yes	Yes	No	Yes
FAM175A	84142	2	Yes	Yes	No	No	No	No	No
ARID5B	84159	3	Yes	Yes	Yes	No	No	No	No
SETD3	84193	2	Yes	No	Yes	No	No	No	No
TRAF7	84231	4	Yes	Yes	No	No	No	Yes	Yes
FLYWCH1	84256	1	No	No	No	No	Yes	No	No
PHF6	84295	4	No	No	Yes	No	Yes	Yes	Yes
HOOK3	84376	1	No	No	No	No	No	No	Yes
CARD11	84433	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MAML2	84441	1	No	No	No	No	No	No	Yes
DOT1L	84444	5	Yes	Yes	Yes	Yes	Yes	No	No
BRSK1	84446	1	No	No	No	No	Yes	No	No
SLX4	84464	2	Yes	Yes	No	No	No	No	No
KDM2B	84678	1	No	No	No	No	Yes	No	No
RSPO3	84870	1	No	No	No	No	No	No	Yes
CEP89	84902	1	No	No	No	No	No	No	Yes
HIST1H2BK	85236	3	Yes	No	Yes	No	Yes	No	No
SLC45A3	85414	1	No	No	No	No	No	No	Yes
KLHL6	89857	2	No	No	No	Yes	Yes	No	No
KNSTRN	90417	2	Yes	Yes	No	No	No	No	No
CREB3L1	90993	2	No	No	No	No	Yes	No	Yes
FAM58A	92002	2	Yes	Yes	No	No	No	No	No
SNX29	92017	2	No	No	No	No	Yes	No	Yes
SPECC1	92521	1	No	No	No	No	No	No	Yes
C12orf9	93669	1	No	No	No	No	No	No	Yes
PWWP2A	114825	1	No	No	No	No	No	No	Yes
RMI2	116028	1	No	No	No	No	No	No	Yes
EXOSC6	118460	1	No	No	No	No	Yes	No	No
LRRK2	120892	1	No	No	No	No	Yes	No	No
LRIG3	121227	1	No	No	No	No	No	No	Yes
MSI2	124540	4	Yes	Yes	No	No	Yes	No	Yes
CANT1	124583	1	No	No	No	No	No	No	Yes
HIST2H3C	126961	2	Yes	Yes	No	No	No	No	No
ARID3C	138715	2	Yes	No	Yes	No	No	No	No
AMER1	139285	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
VTI1A	143187	1	No	No	No	No	No	No	Yes
SESN3	143686	2	Yes	Yes	No	No	No	No	No
C15ORF65	145788	1	No	No	No	No	No	No	Yes
TTL	150465	2	No	No	No	No	Yes	No	Yes
BTLA	151888	1	No	No	No	No	Yes	No	No
PPP4R2	151987	2	Yes	Yes	No	No	No	No	No
ESCO2	157570	2	Yes	No	Yes	No	No	No	No
SPRED1	161742	2	Yes	Yes	No	No	No	No	No
ZNF384	171017	2	No	No	No	No	Yes	No	Yes
ASXL1	171023	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ARID2	196528	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
WDR90	197335	1	No	No	No	No	Yes	No	No
TET3	200424	2	Yes	No	Yes	No	No	No	No
FLCN	201163	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MPEG1	219972	2	Yes	No	Yes	No	No	No	No
RASGEF1A	221002	1	No	No	No	No	Yes	No	No
JAZF1	221895	2	No	No	No	No	Yes	No	Yes
RICTOR	253260	5	Yes	Yes	Yes	Yes	Yes	No	No
NUTM1	256646	2	Yes	No	No	No	No	No	Yes
NEGR1	257194	2	Yes	Yes	No	No	No	No	No
MDS2	259283	2	No	No	No	No	Yes	No	Yes
BCL9L	283149	1	No	No	No	No	No	No	Yes
KSR2	283455	2	Yes	No	Yes	No	No	No	No
HMGN2P46	283651	1	No	No	No	No	No	No	Yes
P2RY8	286530	4	Yes	No	Yes	No	Yes	No	Yes
HIST2H3A	333932	1	Yes	No	No	No	No	No	No
RSPO2	340419	1	No	No	No	No	No	No	Yes
ECT2L	345930	2	No	No	No	No	Yes	No	Yes
MALAT1	378938	1	No	No	No	No	No	No	Yes
KMT5A	387893	3	Yes	Yes	Yes	No	No	No	No
SERP2	387923	1	No	No	No	No	Yes	No	No
MYO18A	399687	1	No	No	No	No	Yes	No	No
H3F3C	440093	2	Yes	Yes	No	No	No	No	No
H3F3AP4	440926	1	Yes	No	No	No	No	No	No
HIST2H3D	653604	2	Yes	Yes	No	No	No	No	No
SFPQ	654780	1	No	No	No	No	No	No	Yes
NUTM2A	728118	2	No	No	No	No	Yes	No	Yes
NUTM2B	729262	1	No	No	No	No	No	No	Yes
TEC	100124696	1	No	No	No	No	Yes	No	No
MEF2B	100271849	5	Yes	Yes	Yes	Yes	Yes	No	No
KLF5	688	1	Yes	No	No	No	No	No	No
